ticker,total_signals,wins,win_rate,buy_signals,buy_win_rate,sell_signals,sell_win_rate,strong_signals,strong_win_rate,avg_price_chg
20MICRONS.NS,60,36,60.0,16,56.2,44,61.4,9,66.7,-0.5
21STCENMGM.NS,39,20,51.3,22,27.3,17,82.4,4,50.0,-3.9
360ONE.NS,59,21,35.6,21,38.1,38,34.2,5,20.0,0.92
3IINFOLTD.NS,57,26,45.6,24,37.5,33,51.5,8,50.0,-1.03
3MINDIA.NS,63,34,54.0,26,50.0,37,56.8,10,60.0,-0.21
3PLAND.NS,55,35,63.6,13,69.2,42,61.9,5,60.0,1.13
5PAISA.NS,61,30,49.2,30,30.0,31,67.7,17,41.2,-1.59
63MOONS.NS,60,32,53.3,17,47.1,43,55.8,9,66.7,1.38
A2ZINFRA.NS,53,24,45.3,23,39.1,30,50.0,3,33.3,-1.11
AAATECH.NS,54,32,59.3,25,44.0,29,72.4,10,40.0,-1.91
AADHARHFC.NS,57,37,64.9,22,54.5,35,71.4,4,50.0,-0.59
AAKASH.NS,60,32,53.3,20,40.0,40,60.0,14,57.1,-0.34
AAREYDRUGS.NS,61,30,49.2,28,39.3,33,57.6,9,77.8,0.15
AARON.NS,64,33,51.6,20,25.0,44,63.6,11,45.5,-0.79
AARTECH.NS,56,31,55.4,20,35.0,36,66.7,8,50.0,0.35
AARTIDRUGS.NS,60,29,48.3,29,31.0,31,64.5,7,57.1,-0.74
AARTIIND.NS,61,28,45.9,22,31.8,39,53.8,7,71.4,-0.49
AARTIPHARM.NS,61,39,63.9,23,47.8,38,73.7,10,60.0,-1.0
AARTISURF.NS,57,32,56.1,20,40.0,37,64.9,5,60.0,-0.76
AARVI.NS,56,30,53.6,23,43.5,33,60.6,7,57.1,0.14
AAVAS.NS,46,24,52.2,17,41.2,29,58.6,12,33.3,-0.61
ABAN.NS,67,42,62.7,18,44.4,49,69.4,15,53.3,-3.09
ABB.NS,56,24,42.9,20,40.0,36,44.4,5,40.0,-0.5
ABBOTINDIA.NS,65,36,55.4,32,50.0,33,60.6,6,33.3,0.0
ABCAPITAL.NS,60,26,43.3,31,51.6,29,34.5,9,33.3,1.16
